smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
NC(=O)C(CO)NC(=O)CNC(=O)OCc1ccccc1,-1.517,0.065,-0.318,0,0.312,0.337,0.057,0.003,-5.772,0.000313213,0.942,12.42%,0.313,74.99%,0.022,0.05,0.03,0.056,0.016,0.104,0.002,0.122,0.012,0.093,3.343,0.799,0.097,0.071,0.05,0.023,0.003,0.002,0.169,0.017,0.003,0.011,0.009,0.283,1.578,2.602,4.19,0.127,0.006,0.008,0.003,0.277,0.009,0.004,0.05,0.006,0.007,0.011,0.008,295.12,285.97,1.032,8,5,130.75,10,1,6,8,0,9,1.111,1,0,0,0,1,1,1,1,1,0.506,2.361,0.308,16,-0.554,0,0,0,0,Accepted,Accepted,Accepted,Accepted
COc1ccc(N=C(NC2CC2)NS(C)(=O)=O)cc1OC,-2.019,0.045,0.851,0.032,0.998,0.007,0.002,0.006,-5.628,5.89E-06,0.921,0.223130646,0.743,0.615344238,0.128,0.45,0.088,0.862,0.051,0.467,0.032,0.57,0.138,0.698,6.934,0.359,0.033,0.708,0.902,0.06,0.527,0.181,0.057,0.091,0.003,0.011,0.471,0.148,1.758,2.606,3.57,0.101,0.015,0.038,0.002,0.039,0.004,0.008,0.089,0.005,0.006,0.052,0.012,313.11,292.406,1.071,7,2,89.02,7,2,6,8,0,12,0.583,0,0,0,0,0,2,0,3,0,0.625,2.49,0.462,32.421,-0.888,3,0,0,0,Accepted,Accepted,Accepted,Accepted
O=C(N=c1[nH]c(C(=O)N2CCOCC2)cs1)c1cccc(F)c1,-2.398,1.518,1.495,0.003,0.001,0.003,0.125,0.091,-4.693,3.12E-05,0.998,40.07%,0.626,57.45%,0.708,0.113,0.645,0.064,0.169,0.528,0.014,0.182,0.073,0.241,3.644,0.704,0.026,0.971,0.967,0.144,0.245,0.03,0.128,0.865,0.004,0.137,0.084,0.335,2.155,2.838,4.509,0.004,0.004,0.138,0.017,0.161,0.005,0.013,0.496,0.014,0.007,0.083,0.015,335.07,307.809,1.089,6,1,74.76,4,3,6,8,0,20,0.2,0,2,1,0,0,0,1,1,0,0.902,2.81,0.267,38.737,-2.328,3,0,0,0,Accepted,Accepted,Accepted,Accepted
CS(=O)(=O)NC1CCN(C(=O)c2cccc(F)c2)C1,-0.437,0.685,0.298,0.012,0.021,0.013,0.01,0.016,-4.982,2.47E-05,0.89,0.407041435,0.406,0.67048851,0.062,0.19,0.034,0.213,0.023,0.277,0.006,0.326,0.042,0.289,3.544,0.17,0.052,0.938,0.843,0.007,0.103,0.693,0.142,0.344,0.004,0.065,0.1,0.352,2.085,2.918,4.201,0.018,0.003,0.014,0.003,0.076,0.003,0.011,0.114,0.006,0.007,0.013,0.002,286.08,261.39,1.094,5,1,66.48,4,2,6,7,0,14,0.286,1,1,1,0,0,0,1,1,0,0.884,2.444,0.417,48.588,-2.405,1,0,0,0,Accepted,Accepted,Accepted,Accepted
COc1cc(OC)cc(C(=O)N=C(NCCN2CCOCC2)Nc2cccc(F)c2)c1,-3.24,2.9,2.248,0.965,0.954,0.083,0.019,0.035,-5.486,2.19E-05,0.95,43.97%,1.753,32.32%,0.312,0.342,0.39,0.869,0.101,0.401,0.814,0.917,0.688,0.415,10.767,0.631,0.474,0.571,0.614,0.158,0.102,0.178,0.157,0.111,0.003,0.01,0.886,0.338,2.309,3.147,4.361,0.007,0.005,0.045,0.013,0.249,0.006,0.004,0.314,0.01,0.002,0.027,0.009,430.2,427.523,1.006,8,2,84.42,10,3,6,9,0,20,0.5,0,2,1,0,0,3,1,3,1,0.515,2.474,0.364,38.533,-1.899,3,0,0,0,Accepted,Accepted,Rejected,Accepted
Cc1cc(N2CCOCC2)n2nc(CN3CCC4(CC3)OCCO4)nc2n1,-1.098,1.064,0.15,0.003,0.051,0.001,0.883,0.142,-5.012,1.95E-05,0.337,0.453746414,2.544,0.399702301,0.014,0.182,0.047,0.075,0.011,0.067,0.036,0.478,0.007,0.719,8.127,0.762,0.021,0.501,0.526,0.085,0.065,0.017,0.467,0.99,0.003,0.027,0.203,0.037,1.469,1.701,3.231,0,0.004,0.087,0.018,0.218,0.013,0.003,0.73,0.019,0.019,0.009,0.064,374.21,358.907,1.043,9,0,77.25,3,5,9,9,0,27,0.111,0,1,0,0,0,1,0,1,1,0.773,3.339,0.722,92.742,-1.943,0,0,0,0,Accepted,Accepted,Accepted,Accepted
CC(=O)NC(CCS(C)(=O)=O)C(=O)Nc1ccc(Oc2ccccc2)cc1,-3.375,1.371,0.887,0.12,0.182,0.068,0.005,0.031,-5.688,1.17E-05,0.274,47.33%,0.241,44.78%,0.052,0.094,0.058,0.33,0.088,0.709,0.01,0.218,0.059,0.668,0.426,0.646,0.068,0.852,0.682,0.771,0.167,0.89,0.209,0.324,0.003,0.012,0.017,0.374,2.754,3.287,5.143,0.016,0.004,0.041,0.003,0.074,0.011,0.016,0.369,0.007,0.015,0.054,0.008,390.12,383.429,1.017,7,2,101.57,10,2,6,8,0,16,0.625,1,0,0,0,0,5,0,2,1,0.72,2.405,0.263,30,-0.944,2,0,0,0,Accepted,Accepted,Accepted,Accepted
CC(=O)N1CCN(C(=O)c2csc(=NC(=O)c3cccc(F)c3)[nH]2)CC1,-1.632,1.189,1.332,0.004,0.007,0.011,0.131,0.11,-4.876,2.64E-05,0.97,0.473675423,0.865,0.606671982,0.453,0.153,0.629,0.066,0.154,0.803,0.013,0.341,0.052,0.223,2.477,0.791,0.067,0.986,0.851,0.037,0.671,0.119,0.104,0.87,0.003,0.031,0.044,0.144,2.227,2.668,4.526,0.043,0.008,0.031,0.005,0.15,0.006,0.005,0.577,0.012,0.008,0.052,0.008,376.1,350.761,1.072,7,1,85.84,5,3,6,9,0,21,0.238,0,1,1,0,0,0,1,1,0,0.856,2.78,0.294,42.545,-1.956,3,0,0,0,Accepted,Accepted,Accepted,Accepted
Cc1cc(N2CCOCC2)n2nc(CN3CCN(C(C)C)CC3)nc2n1,-1.336,1.138,0.568,0.002,0.038,0.004,0.882,0.773,-5.041,9.31E-06,0.841,0.487883453,1.192,0.476357956,0.028,0.072,0.023,0.502,0.003,0.26,0.046,0.827,0.006,0.876,9.155,0.763,0.022,0.46,0.145,0.05,0.048,0.029,0.214,0.991,0.003,0.018,0.961,0.065,1.878,2.142,3.148,0.002,0.003,0.018,0.002,0.095,0.063,0.004,0.691,0.019,0.007,0.009,0.021,359.24,360.88,0.995,8,0,62.03,4,4,9,8,0,22,0.182,0,1,0,0,0,0,0,1,1,0.8,2.639,0.722,52.839,-2.292,0,0,0,0,Accepted,Accepted,Accepted,Accepted
CC(=O)Nc1cccc(C(=O)NCc2ccc3c(c2)CCN3C(C)=O)c1,-4.177,1.406,1.615,0.999,0.925,0.024,0.007,0.984,-5.196,9.92E-06,0.495,0.528900909,0.822,0.451334267,0.458,0.303,0.299,0.422,0.43,0.421,0.167,0.337,0.308,0.683,0.614,0.681,0.046,0.45,0.406,0.04,0.53,0.43,0.173,0.015,0.003,0.01,0.004,0.301,2.097,2.622,4.881,0.409,0.009,0.557,0.014,0.371,0.008,0.01,0.356,0.336,0.012,0.263,0.36,351.16,364.44,0.964,6,2,78.51,7,3,9,6,0,19,0.368,0,0,0,0,0,5,0,2,3,0.888,1.986,0.25,38.88,-1.743,0,0,0,0,Accepted,Accepted,Accepted,Accepted
CCCCN(C)Cc1nc2nc(C)cc(N3CCOCC3)n2n1,-1.82,1.952,1.274,0.006,0.025,0.003,0.041,0.089,-4.678,1.16E-05,0.74,0.537482185,1.464,0.454851265,0.072,0.237,0.031,0.514,0.006,0.08,0.092,0.789,0.014,0.836,10.037,0.805,0.025,0.458,0.769,0.045,0.183,0.033,0.347,0.984,0.016,0.029,0.939,0.427,1.965,2.481,3.288,0.003,0.003,0.045,0.007,0.152,0.008,0.003,0.451,0.009,0.014,0.009,0.014,318.22,323.848,0.983,7,0,58.79,6,3,9,7,0,16,0.375,0,2,0,0,0,0,0,1,1,0.804,2.654,0.688,36.741,-2.34,0,0,0,0,Accepted,Accepted,Accepted,Accepted
