Smiles,Rf,XGB,SVM,Mean
c1(sc2c(c1Cl)cccc2)C(=O)Nc1cc(OCc2ccccc2)ccc1,0.645081145,0.89163595,0.799472112,0.778729737
C(C(=O)NCCCOCC)(NC(=O)CNC(=O)c1ccccc1)c1ccc(cc1)OC,0.634279887,0.99863833,0.682626531,0.77184825
N1(C(=O)OCc2ccccc2)C(C(=O)NC(C(=O)Nc2ccc(cc2)OC)c2ccc(cc2)OC)CCC1,0.668117754,0.9955368,0.605570763,0.75640844
N1(C(=O)OCc2ccccc2)C(C(=O)NC(C(=O)Nc2ccc(cc2)OC)c2ccccc2)CCC1,0.64840942,0.99634546,0.60949019,0.751415023
c1(sc2c(c1Cl)cccc2)C(=O)Nc1cc2sc(nc2cc1)NC(=O)C,0.569285245,0.9953917,0.681908271,0.748861748
c1([nH]c2c(c1)ccc(c2)OC)C(=O)Nc1ccccc1,0.530618203,0.98810774,0.723013974,0.747246639
C(=O)(C(NC(=O)Cc1c[nH]c2c1cccc2)c1ccc(cc1)OC)Nc1ccc(cc1)OC,0.584243491,0.9732198,0.659983484,0.739148929
c1(nc2c(s1)cc(cc2)F)NC(=O)c1cc(F)ccc1,0.613950412,0.98064625,0.621315385,0.73863735
c1(C(=O)NC(C(=O)Nc2ccc(cc2)OC)c2ccc(cc2)OC)c[nH]c(=O)cc1,0.577575075,0.99868876,0.615767836,0.730677223
c1(nc2c(s1)cc(cc2)OC)NC(=O)c1ccc(cc1)C,0.556389266,0.9424412,0.692039359,0.73028995
c1(nc2c(s1)cc(cc2)C)NC(=O)C(NC(=O)OCc1ccccc1)Cc1c[nH]c2c1cccc2,0.551875,0.98401767,0.644006129,0.726632933
c1(nc2c(s1)cc(NC(=O)CSc1ccccc1)cc2)NC(=O)c1ccccc1,0.563169319,0.9868407,0.628998832,0.726336292
c1(sc2c(c1Cl)cccc2)C(=O)Nc1cc(C(=O)OC)cc(C(=O)OC)c1,0.446861607,0.9866263,0.741258357,0.724915431
